,X,Y,Z,Detector
116,0.27224,0.31000,0.71064,2
117,0.27224,0.93000,0.71064,2
118,0.27224,1.58000,0.71064,2
119,0.27224,2.20000,0.71064,2
120,0.27224,2.82000,0.71064,2
121,0.27224,3.44000,0.71064,2
122,3.20532,-0.31000,0.97086,1
123,3.20532,-0.93000,0.97086,1
124,3.20532,-1.58000,0.97086,1
125,3.20532,-2.20000,0.97086,1
126,3.20532,-2.82000,0.97086,1
127,3.20532,-3.44000,0.97086,1
128,3.20532,0.31000,0.97086,1
129,3.20532,0.93000,0.97086,1
130,3.20532,1.58000,0.97086,1
131,3.20532,2.20000,0.97086,1
132,3.20532,2.82000,0.97086,1
133,3.20532,3.44000,0.97086,1
134,-0.16617,-0.31000,1.14905,2
135,-0.16617,-0.93000,1.14905,2
136,-0.16617,-1.58000,1.14905,2
137,-0.16617,-2.20000,1.14905,2
138,-0.16617,-2.82000,1.14905,2
139,-0.16617,-3.44000,1.14905,2
140,-0.16617,0.31000,1.14905,2
141,-0.16617,0.93000,1.14905,2
142,-0.16617,1.58000,1.14905,2
143,-0.16617,2.20000,1.14905,2
144,-0.16617,2.82000,1.14905,2
145,-0.16617,3.44000,1.14905,2
146,2.74570,-0.31000,1.43048,1
147,2.74570,-0.93000,1.43048,1
148,2.74570,-1.58000,1.43048,1
149,2.74570,-2.20000,1.43048,1
150,2.74570,-2.82000,1.43048,1
151,2.74570,-3.44000,1.43048,1
152,2.74570,0.31000,1.43048,1
153,2.74570,0.93000,1.43048,1
154,2.74570,1.58000,1.43048,1
155,2.74570,2.20000,1.43048,1
156,2.74570,2.82000,1.43048,1
157,2.74570,3.44000,1.43048,1
158,-0.62579,-0.31000,1.60867,2
159,-0.62579,-0.93000,1.60867,2
160,-0.62579,-1.58000,1.60867,2
161,-0.62579,-2.20000,1.60867,2
162,-0.62579,-2.82000,1.60867,2
163,-0.62579,-3.44000,1.60867,2
164,-0.62579,0.31000,1.60867,2
165,-0.62579,0.93000,1.60867,2
166,-0.62579,1.58000,1.60867,2
167,-0.62579,2.20000,1.60867,2
168,-0.62579,2.82000,1.60867,2
169,-0.62579,3.44000,1.60867,2
170,2.30729,-0.31000,1.86888,1
171,2.30729,-0.93000,1.86888,1
172,2.30729,-1.58000,1.86888,1
173,2.30729,-2.20000,1.86888,1
174,2.30729,-2.82000,1.86888,1
175,2.30729,-3.44000,1.86888,1
176,2.30729,0.31000,1.86888,1
177,2.30729,0.93000,1.86888,1
178,2.30729,1.58000,1.86888,1
179,2.30729,2.20000,1.86888,1
180,2.30729,2.82000,1.86888,1
181,2.30729,3.44000,1.86888,1
182,2.01525,-4.05300,2.01525,3
183,2.01525,4.05300,2.01525,3
184,-1.06420,-0.31000,2.04707,2
185,-1.06420,-0.93000,2.04707,2
186,-1.06420,-1.58000,2.04707,2
187,-1.06420,-2.20000,2.04707,2
188,-1.06420,-2.82000,2.04707,2
189,-1.06420,-3.44000,2.04707,2
190,-1.06420,0.31000,2.04707,2
191,-1.06420,0.93000,2.04707,2
192,-1.06420,1.58000,2.04707,2
193,-1.06420,2.20000,2.04707,2
194,-1.06420,2.82000,2.04707,2
195,-1.06420,3.44000,2.04707,2
196,1.86888,-0.31000,2.30729,1
197,1.86888,-0.93000,2.30729,1
198,1.86888,-1.58000,2.30729,1
199,1.86888,-2.20000,2.30729,1
200,1.86888,-2.82000,2.30729,1
201,1.86888,-3.44000,2.30729,1
202,1.86888,0.31000,2.30729,1
203,1.86888,0.93000,2.30729,1
204,1.86888,1.58000,2.30729,1
205,1.86888,2.20000,2.30729,1
206,1.86888,2.82000,2.30729,1
207,1.86888,3.44000,2.30729,1
208,-1.50260,-0.31000,2.48548,2
209,-1.50260,-0.93000,2.48548,2
210,-1.50260,-1.58000,2.48548,2
211,-1.50260,-2.20000,2.48548,2
212,-1.50260,-2.82000,2.48548,2
213,-1.50260,-3.44000,2.48548,2
214,-1.50260,0.31000,2.48548,2
215,-1.50260,0.93000,2.48548,2
216,-1.50260,1.58000,2.48548,2
217,-1.50260,2.20000,2.48548,2
218,-1.50260,2.82000,2.48548,2
219,-1.50260,3.44000,2.48548,2
220,1.43048,-0.31000,2.74570,1
221,1.43048,-0.93000,2.74570,1
222,1.43048,-1.58000,2.74570,1
223,1.43048,-2.20000,2.74570,1
224,1.43048,-2.82000,2.74570,1
225,1.43048,-3.44000,2.74570,1
226,1.43048,0.31000,2.74570,1
227,1.43048,0.93000,2.74570,1
228,1.43048,1.58000,2.74570,1
229,1.43048,2.20000,2.74570,1
230,1.43048,2.82000,2.74570,1
231,1.43048,3.44000,2.74570,1
232,-1.94101,-0.31000,2.92389,2
233,-1.94101,-0.93000,2.92389,2
234,-1.94101,-1.58000,2.92389,2
235,-1.94101,-2.20000,2.92389,2
236,-1.94101,-2.82000,2.92389,2
237,-1.94101,-3.44000,2.92389,2
238,-1.94101,0.31000,2.92389,2
239,-1.94101,0.93000,2.92389,2
240,-1.94101,1.58000,2.92389,2
241,-1.94101,2.20000,2.92389,2
242,-1.94101,2.82000,2.92389,2
243,-1.94101,3.44000,2.92389,2
244,0.97086,-0.31000,3.20532,1
245,0.97086,-0.93000,3.20532,1
246,0.97086,-1.58000,3.20532,1
247,0.97086,-2.20000,3.20532,1
248,0.97086,-2.82000,3.20532,1
249,0.97086,-3.44000,3.20532,1
250,0.97086,0.31000,3.20532,1
251,0.97086,0.93000,3.20532,1
252,0.97086,1.58000,3.20532,1
253,0.97086,2.20000,3.20532,1
254,0.97086,2.82000,3.20532,1
255,0.97086,3.44000,3.20532,1
256,0.53245,-0.31000,3.64372,1
257,0.53245,-0.93000,3.64372,1
258,0.53245,-1.58000,3.64372,1
259,0.53245,-2.20000,3.64372,1
260,0.53245,-2.82000,3.64372,1
261,0.53245,-3.44000,3.64372,1
262,0.53245,0.31000,3.64372,1
263,0.53245,0.93000,3.64372,1
264,0.53245,1.58000,3.64372,1
265,0.53245,2.20000,3.64372,1
266,0.53245,2.82000,3.64372,1
267,0.53245,3.44000,3.64372,1
268,0.09405,-0.31000,4.08213,1
269,0.09405,-0.93000,4.08213,1
270,0.09405,-1.58000,4.08213,1
271,0.09405,-2.20000,4.08213,1
272,0.09405,-2.82000,4.08213,1
273,0.09405,-3.44000,4.08213,1
274,0.09405,0.31000,4.08213,1
275,0.09405,0.93000,4.08213,1
276,0.09405,1.58000,4.08213,1
277,0.09405,2.20000,4.08213,1
278,0.09405,2.82000,4.08213,1
279,0.09405,3.44000,4.08213,1
280,-0.34436,-0.31000,4.52053,1
281,-0.34436,-0.93000,4.52053,1
282,-0.34436,-1.58000,4.52053,1
283,-0.34436,-2.20000,4.52053,1
284,-0.34436,-2.82000,4.52053,1
285,-0.34436,-3.44000,4.52053,1
286,-0.34436,0.31000,4.52053,1
287,-0.34436,0.93000,4.52053,1
288,-0.34436,1.58000,4.52053,1
289,-0.34436,2.20000,4.52053,1
290,-0.34436,2.82000,4.52053,1
291,-0.34436,3.44000,4.52053,1
292,-0.85065,0.00000,4.88116,3
