,X,Y,Z,Detector
58,3.297,-4.437,-2.677,5
59,4.537,-4.437,-2.677,5
60,-0.167,4.437,-3.297,3
61,-1.407,4.437,-3.297,3
62,-2.677,4.437,-3.297,3
63,-3.917,4.437,-3.297,3
64,1.103,4.437,-3.297,3
65,2.343,4.437,-3.297,3
66,4.437,-0.483,-3.297,2
67,4.437,-1.723,-3.297,2
68,4.437,0.787,-3.297,2
69,4.437,2.027,-3.297,2
70,4.437,3.297,-3.297,2
71,4.437,4.537,-3.297,2
72,-0.483,-4.437,-3.917,5
73,-1.723,-4.437,-3.917,5
74,-4.437,-0.167,-3.917,4
75,-4.437,-1.407,-3.917,4
76,-4.437,-2.677,-3.917,4
77,-4.437,-3.917,-3.917,4
78,-4.437,1.103,-3.917,4
79,-4.437,2.343,-3.917,4
80,0.787,-4.437,-3.917,5
81,2.027,-4.437,-3.917,5
82,3.297,-4.437,-3.917,5
83,4.537,-4.437,-3.917,5
84,-0.167,4.437,-4.537,3
85,-1.407,4.437,-4.537,3
86,-2.677,4.437,-4.537,3
87,-3.917,4.437,-4.537,3
88,1.103,4.437,-4.537,3
89,2.343,4.437,-4.537,3
90,4.437,-0.483,-4.537,2
91,4.437,-1.723,-4.537,2
92,4.437,0.787,-4.537,2
93,4.437,2.027,-4.537,2
94,4.437,3.297,-4.537,2
95,4.437,4.537,-4.537,2
96,-0.167,4.437,0.483,3
97,-1.407,4.437,0.483,3
98,-2.677,4.437,0.483,3
99,-3.917,4.437,0.483,3
100,1.103,4.437,0.483,3
101,2.343,4.437,0.483,3
102,4.437,-0.483,0.483,2
103,4.437,-1.723,0.483,2
104,4.437,0.787,0.483,2
105,4.437,2.027,0.483,2
106,4.437,3.297,0.483,2
107,4.437,4.537,0.483,2
108,-0.483,-4.437,1.103,5
109,-1.723,-4.437,1.103,5
110,-4.437,-0.167,1.103,4
111,-4.437,-1.407,1.103,4
112,-4.437,-2.677,1.103,4
113,-4.437,-3.917,1.103,4
114,-4.437,1.103,1.103,4
115,-4.437,2.343,1.103,4
116,0.787,-4.437,1.103,5
117,2.027,-4.437,1.103,5
118,3.297,-4.437,1.103,5
119,4.537,-4.437,1.103,5
120,-0.167,4.437,1.723,3
121,-1.407,4.437,1.723,3
122,-2.677,4.437,1.723,3
123,-3.917,4.437,1.723,3
124,1.103,4.437,1.723,3
125,2.343,4.437,1.723,3
126,4.437,-0.483,1.723,2
127,4.437,-1.723,1.723,2
128,4.437,0.787,1.723,2
129,4.437,2.027,1.723,2
130,4.437,3.297,1.723,2
131,4.437,4.537,1.723,2
132,-0.483,-4.437,2.343,5
133,-1.723,-4.437,2.343,5
134,-4.437,-0.167,2.343,4
135,-4.437,-1.407,2.343,4
136,-4.437,-2.677,2.343,4
137,-4.437,-3.917,2.343,4
138,-4.437,1.103,2.343,4
139,-4.437,2.343,2.343,4
140,0.787,-4.437,2.343,5
141,2.027,-4.437,2.343,5
142,3.297,-4.437,2.343,5
143,4.537,-4.437,2.343,5
144,-0.310,-0.310,4.437,1
145,-0.310,-1.580,4.437,1
146,-0.310,-2.820,4.437,1
147,-0.310,0.930,4.437,1
148,-0.310,2.200,4.437,1
149,-0.310,3.440,4.437,1
150,-1.580,-0.310,4.437,1
151,-1.580,-1.580,4.437,1
152,-1.580,-2.820,4.437,1
153,-1.580,0.930,4.437,1
154,-1.580,2.200,4.437,1
155,-1.580,3.440,4.437,1
156,-2.820,-0.310,4.437,1
157,-2.820,-1.580,4.437,1
158,-2.820,-2.820,4.437,1
159,-2.820,0.930,4.437,1
160,-2.820,2.200,4.437,1
161,-2.820,3.440,4.437,1
162,0.930,-0.310,4.437,1
163,0.930,-1.580,4.437,1
164,0.930,-2.820,4.437,1
165,0.930,0.930,4.437,1
166,0.930,2.200,4.437,1
167,0.930,3.440,4.437,1
168,2.200,-0.310,4.437,1
169,2.200,-1.580,4.437,1
170,2.200,-2.820,4.437,1
171,2.200,0.930,4.437,1
172,2.200,2.200,4.437,1
173,2.200,3.440,4.437,1
174,3.440,-0.310,4.437,1
175,3.440,-1.580,4.437,1
176,3.440,-2.820,4.437,1
177,3.440,0.930,4.437,1
178,3.440,2.200,4.437,1
179,3.440,3.440,4.437,1
