,X,Y,Z,Detector
0,-0.483,-4.437,-0.167,5
1,-1.723,-4.437,-0.167,5
2,-4.437,-0.167,-0.167,4
3,-4.437,-1.407,-0.167,4
4,-4.437,-2.677,-0.167,4
5,-4.437,-3.917,-0.167,4
6,-4.437,1.103,-0.167,4
7,-4.437,2.343,-0.167,4
8,0.787,-4.437,-0.167,5
9,2.027,-4.437,-0.167,5
10,3.297,-4.437,-0.167,5
11,4.537,-4.437,-0.167,5
12,-0.167,4.437,-0.787,3
13,-1.407,4.437,-0.787,3
14,-2.677,4.437,-0.787,3
15,-3.917,4.437,-0.787,3
16,1.103,4.437,-0.787,3
17,2.343,4.437,-0.787,3
18,4.437,-0.483,-0.787,2
19,4.437,-1.723,-0.787,2
20,4.437,0.787,-0.787,2
21,4.437,2.027,-0.787,2
22,4.437,3.297,-0.787,2
23,4.437,4.537,-0.787,2
24,-0.483,-4.437,-1.407,5
25,-1.723,-4.437,-1.407,5
26,-4.437,-0.167,-1.407,4
27,-4.437,-1.407,-1.407,4
28,-4.437,-2.677,-1.407,4
29,-4.437,-3.917,-1.407,4
30,-4.437,1.103,-1.407,4
31,-4.437,2.343,-1.407,4
32,0.787,-4.437,-1.407,5
33,2.027,-4.437,-1.407,5
34,3.297,-4.437,-1.407,5
35,4.537,-4.437,-1.407,5
36,-0.167,4.437,-2.027,3
37,-1.407,4.437,-2.027,3
38,-2.677,4.437,-2.027,3
39,-3.917,4.437,-2.027,3
40,1.103,4.437,-2.027,3
41,2.343,4.437,-2.027,3
42,4.437,-0.483,-2.027,2
43,4.437,-1.723,-2.027,2
44,4.437,0.787,-2.027,2
45,4.437,2.027,-2.027,2
46,4.437,3.297,-2.027,2
47,4.437,4.537,-2.027,2
48,-0.483,-4.437,-2.677,5
49,-1.723,-4.437,-2.677,5
50,-4.437,-0.167,-2.677,4
51,-4.437,-1.407,-2.677,4
52,-4.437,-2.677,-2.677,4
53,-4.437,-3.917,-2.677,4
54,-4.437,1.103,-2.677,4
55,-4.437,2.343,-2.677,4
56,0.787,-4.437,-2.677,5
57,2.027,-4.437,-2.677,5
